구분,연도,전체_학교_수,전체_대,학생용_대,학생용_퍼센트,교사용_대,교사용_퍼센트,직원용_대,직원용_퍼센트,기타_대,기타_퍼센트
시 지역(특별/광역시),2021,3996,1023241,603756,59.0,364336,35.7,50727,4.9,4422,0.4
시 지역(특별/광역시),2022,4044,1315640,822044,62.5,390708,29.8,63883,4.9,40404,3.0
시 지역(특별/광역시),2023,4048,1708249,1050669,61.5,417728,29.2,66184,3.9,53869,3.0

서울특별시,2021,1367,406629,224317,55.2,138863,34.4,25336,6.2,17113,4.0
서울특별시,2022,1370,457936,272446,59.5,144129,31.5,24723,5.4,16628,3.0
서울특별시,2023,1370,556811,363944,65.2,166984,30.0,25512,4.4,19291,3.0
부산광역시,2021,636,148808,85222,56.9,49088,32.1,9930,6.6,6568,4.0
부산광역시,2022,637,172998,109765,63.5,47228,27.3,9244,5.3,6724,3.0
부산광역시,2023,637,332802,252100,75.1,55482,16.6,9724,3.0,7306,2.0
대구광역시,2021,425,152101,93387,61.3,34218,22.5,8780,5.8,9716,6.0
대구광역시,2022,427,193374,141166,70.3,40329,20.2,8054,4.0,10825,5.0
대구광역시,2023,427,236351,175742,74.4,41591,17.6,8119,3.4,10899,4.0
인천광역시,2021,548,146433,76295,52.1,59351,40.5,6616,4.5,4211,2.0
인천광역시,2022,554,185477,110457,59.5,64149,34.6,6762,3.7,4128,2.0
인천광역시,2023,557,229447,152140,66.3,66055,28.8,6743,2.9,4559,2.0
광주광역시,2021,329,74472,33133,44.5,32421,43.5,5419,7.3,3499,4.0
광주광역시,2022,334,98359,53191,54.0,32097,32.6,4881,5.0,3400,3.0
광주광역시,2023,334,127306,84727,66.5,33888,26.6,5339,4.2,3447,2.0
대전광역시,2021,319,66672,35443,54.6,22474,33.7,4996,7.5,2794,4.0
대전광역시,2022,312,106638,76258,71.5,22060,20.7,4932,4.6,3393,3.0
대전광역시,2023,312,170194,135673,79.7,25729,15.1,5256,3.1,3536,2.0
울산광역시,2021,249,56821,31944,56.2,18177,32.0,4191,7.4,2512,4.0
울산광역시,2022,249,69275,41594,60.0,21065,30.5,3925,5.7,3084,4.0
울산광역시,2023,249,101621,75770,75.1,21339,19.6,4043,3.9,3433,3.0
세종특별자치시,2021,99,23275,17053,58.3,9804,33.5,1439,4.9,979,3.0
세종특별자치시,2022,101,31422,18197,59.8,10005,32.9,1364,4.5,855,2.0
세종특별자치시,2023,103,35767,21003,62.9,9665,29.6,1458,4.5,1021,3.0
경기도,2021,2529,450329,232337,51.6,160135,35.6,40351,9.0,17505,3.0
경기도,2022,2534,544339,318929,58.6,169606,31.2,38379,7.1,17351,3.0
경기도,2023,2551,1093057,855283,78.3,180837,16.5,39539,3.6,18398,1.0
강원특별자치도,2021,668,85803,48445,56.4,26342,30.7,8026,9.4,3000,3.0
강원특별자치도,2022,664,117552,77446,65.4,27440,23.5,7745,6.6,4001,3.0
강원특별자치도,2023,669,162291,120615,74.3,26649,16.3,8002,4.9,4065,2.0
충청북도,2021,486,92044,53814,58.4,30171,32.7,5738,6.2,2461,2.0
충청북도,2022,495,111490,74518,66.7,31346,28.1,6135,5.5,2971,2.0
충청북도,2023,497,117182,75270,64.2,32994,28.1,6174,5.3,2844,2.0
충청남도,2021,739,118682,66257,55.4,42875,36.8,6722,5.6,3128,2.0
충청남도,2022,741,147935,89447,59.8,40316,27.7,6667,4.5,4365,3.0
충청남도,2023,742,225796,161929,71.7,51551,23.0,7039,3.1,4489,2.0
전라북도,2021,780,103744,64375,58.0,38291,33.3,6640,6.0,3438,2.0
전라북도,2022,781,124795,77039,61.8,37458,30.0,6578,5.3,3660,2.0
전라북도,2023,781,149756,96767,65.0,41697,28.0,6659,4.5,3653,2.0
전라남도,2021,891,139443,94787,59.8,47811,30.2,9146,5.8,6682,4.0
전라남도,2022,887,165642,101512,61.7,50604,30.6,8372,5.1,6154,3.0
전라남도,2023,883,205560,134037,65.2,55992,27.5,9651,4.7,5224,2.0
경상북도,2021,977,166426,76339,45.9,76754,46.1,5684,3.4,7629,4.0
경상북도,2022,974,202770,122538,57.6,76715,35.1,5609,2.7,7883,3.0
경상북도,2023,971,271621,180963,66.6,76703,28.2,6315,2.3,7441,2.0
경상남도,2021,1074,167944,81472,51.0,79002,47.0,11539,7.2,7429,4.0
경상남도,2022,1079,187751,100321,53.3,93751,50.0,11776,7.0,7768,4.0
경상남도,2023,1077,193447,133382,69.1,61698,32.0,12153,6.3,8006,4.0
제주특별자치도,2021,128,54822,37629,68.6,13181,24.0,2525,4.7,1467,2.0
제주특별자치도,2022,128,57981,39325,68.9,13614,23.5,2387,4.1,2045,3.0
제주특별자치도,2023,129,66183,42605,64.8,14749,22.7,2543,3.9,2227,3.0
