구분,학교 수,전체,학생용,교사용,직원용,기타
초등학교,6359,212.81,137.79,57.72,14.45,5.86
중학교,3278,222.08,131.0,71.68,9.64,9.76
일반고,1581,296.8,168.45,98.56,17.89,11.9
특성화고,491,478.9,301.23,134.56,24.67,18.44
자율고,158,343.1,198.67,112.34,19.78,12.31
특수목적고,157,342.3,197.89,111.98,19.56,12.87
특수학교,193,206.77,79.65,97.35,18.77,10.99
서울특별시,2345,478.9,301.23,134.56,24.67,18.44
부산광역시,892,422.3,254.67,123.45,26.78,17.4
대구광역시,756,389.4,234.56,112.34,25.67,16.83
인천광역시,834,387.2,232.45,113.67,24.56,16.52
광주광역시,345,342.3,197.89,111.98,19.56,12.87
대전광역시,342,339.8,196.78,110.87,19.34,12.81
울산광역시,298,334.5,195.67,109.76,18.23,10.84
세종특별자치시,156,298.7,178.45,98.56,12.89,8.8
경기도,2567,467.8,289.67,134.56,25.67,17.9
강원특별자치도,645,334.5,195.67,109.76,18.23,10.84
충청북도,534,328.9,192.34,108.67,17.89,10.0
충청남도,678,332.1,194.56,108.89,18.12,10.53
전라북도,567,329.8,193.45,107.89,18.01,10.45
전라남도,789,338.9,196.78,110.87,19.34,11.91
경상북도,890,342.3,197.89,111.98,19.56,12.87
경상남도,923,345.6,198.90,112.34,20.12,14.24
제주특별자치도,234,301.2,180.34,99.78,13.45,7.63
